,MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
Shimmer:APQ3,-0.23695828879067785,0.022363689436424118,-0.2954273488414579,0.2146755339101677,0.21489456104577426,0.1706041894417062,0.15617472008264002,0.17060418944170572,0.5835764260988997,0.7063401847933449,1.0,0.8495494426696317,0.627601077809096,0.9999999999999997,0.46962606801249834,-0.5431881468936143,-0.2738240025396807,0.2535309354175501,0.23233948309425848,0.20707952580455616,-0.045071946969026375,-0.0026543480570165074
Shimmer:APQ5,-0.08414971112028645,0.13240723810621863,-0.16901904450808145,0.3055585052347892,0.24207498229686497,0.24431002050177253,0.2305727517891919,0.24431002050177206,0.7091560529955705,0.9118158976936315,0.8495494426696317,1.0,0.8952058040121048,0.849549442669633,0.5117024259470675,-0.5336183986314837,-0.2363987385694556,0.21473790190293968,0.2667505970590883,0.25562231306595495,-0.12473126998558816,0.025833037939244567
MDVP:APQ,0.030984462709883774,0.14719357122221496,-0.05647334421432264,0.3346178632786833,0.228384608081881,0.2470565288724783,0.2390440478707384,0.2470565288724786,0.8033686389264871,0.9671879036615773,0.627601077809096,0.8952058040121048,1.0,0.6276010778090972,0.49050076388208885,-0.4767224814924182,-0.1821048942217303,0.21928541771444576,0.2115066283984046,0.20923612493924845,-0.19976714331552686,0.08288076539411035
Shimmer:DDA,-0.23695828879067576,0.02236368943642684,-0.29542734884145655,0.21467553391016958,0.2148945610457748,0.17060418944170763,0.15617472008264158,0.17060418944170713,0.5835764260989001,0.7063401847933456,0.9999999999999997,0.849549442669633,0.6276010778090972,1.0,0.46962606801249784,-0.543188146893614,-0.2738240025396801,0.2535309354175512,0.2323394830942605,0.207079525804558,-0.04507194696902748,-0.0026543480570170486
NHR,-0.4803740500044558,-0.29608092200893066,-0.517955252628098,0.3483471134205327,0.5232759015222853,0.21822871734711144,0.1831545828042756,0.21822871734710986,0.6284372797087266,0.5218008512730137,0.46962606801249834,0.5117024259470675,0.49050076388208885,0.46962606801249784,1.0,-0.8993622859886522,-0.4617703621234883,0.17085421498671563,0.14545716295679978,0.08145966980048727,-0.34785806404665637,0.30371996059285666
HNR,0.492868432667295,0.25382965177241795,0.557572642515604,-0.40979713422133646,-0.5338184945512416,-0.2792666239382632,-0.2512520493378601,-0.27926662393826124,-0.6290951230060157,-0.5260824245196206,-0.5431881468936143,-0.5336183986314837,-0.4767224814924182,-0.543188146893614,-0.8993622859886522,1.0,0.5733478429590116,-0.23371661675678107,-0.21956725698475285,-0.16500409911289046,0.4292506662471968,-0.27972383633871467
RPDE,0.2592467336877249,0.13613626723379674,0.3203796285484244,-0.24349993720990137,-0.24778952108094215,-0.1674494323396854,-0.15743920780237472,-0.1674494323396827,-0.2239039855352007,-0.162342419064598,-0.2738240025396807,-0.2363987385694556,-0.1821048942217303,-0.2738240025396801,-0.4617703621234883,0.5733478429590116,1.0,-0.22049575866001003,-0.1341119020185325,-0.08837400178569453,0.5119818277180866,-0.31189627743014875
DFA,-0.17484220515301424,-0.09807157111974986,-0.24096910772104263,0.21546753754871042,0.23214495767115204,0.2283715934586735,0.23668691440868134,0.2283715934586713,0.2248724832287992,0.1905130759008992,0.2535309354175501,0.21473790190293968,0.21928541771444576,0.2535309354175512,0.17085421498671563,-0.23371661675678107,-0.22049575866001003,1.0,0.19455116414309603,0.170480035780493,-0.21329632438003954,-0.03488813209999838
spread1,0.07149243276491528,0.5184351752304581,-0.2444929854559757,0.8140193455750745,0.6738311253193757,0.8867534640791067,0.8894266971667049,0.8867534640791075,0.03581179162465173,0.19970098902510602,0.23233948309425848,0.2667505970590883,0.2115066283984046,0.2323394830942605,0.14545716295679978,-0.21956725698475285,-0.1341119020185325,0.19455116414309603,1.0,0.9692818118129002,-0.2690830638500411,-0.5494696409391453
spread2,0.08280396553518345,0.5258360146598107,-0.22940387621154043,0.8161917410737959,0.6749236569629558,0.9025865240612136,0.9110649065812073,0.9025865240612136,0.0006138587379059199,0.1914895370197974,0.20707952580455616,0.25562231306595495,0.20923612493924845,0.207079525804558,0.08145966980048727,-0.16500409911289046,-0.08837400178569453,0.170480035780493,0.9692818118129002,1.0,-0.22454024015065785,-0.5843147898667516
D2,0.056880239466586366,-0.05131267373562919,0.16883834798107683,-0.4381270776177685,-0.3750498173009049,-0.3477828063004789,-0.3152739586698452,-0.34778280630047437,-0.12406488270228141,-0.15472331157880886,-0.045071946969026375,-0.12473126998558816,-0.19976714331552686,-0.04507194696902748,-0.34785806404665637,0.4292506662471968,0.5119818277180866,-0.21329632438003954,-0.2690830638500411,-0.22454024015065785,1.0,-0.40082789405171787
PPE,-0.18914726257857892,-0.4034479541784685,-0.014283886400878801,-0.21711975453796226,-0.11493059176177348,-0.4022654547129597,-0.43379976559687594,-0.40226545471295894,0.1084021981676142,0.07333961717766839,-0.0026543480570165074,0.025833037939244567,0.08288076539411035,-0.0026543480570170486,0.30371996059285666,-0.27972383633871467,-0.31189627743014875,-0.03488813209999838,-0.5494696409391453,-0.5843147898667516,-0.40082789405171787,1.0
